Time,Speed_z,BoundaryDensity_z,GradBoundary,EventBoundary,RollingCorr_60s
0,0.5555112490776121,0.8761695845046502,0,0,
1,0.40111718062741,0.045313855346720236,0,0,
2,0.6750913871380722,-0.8341064042861591,0,0,
3,1.0089976626930683,-1.084548968539114,1,0,
4,0.6341215352266892,-0.804561690572507,0,0,
5,-0.21381465498920005,-0.5742579978013227,0,0,
6,-0.4286164606493455,2.7205637449125626,0,1,
7,0.020616986743251187,-0.14430505032524737,0,0,
8,0.2971156600875969,-0.5091391821846211,0,0,
9,0.3835683273348353,1.2554527279173797,0,0,
10,0.3006289360049186,-0.7940249256343185,0,0,
11,0.49192117488258824,-0.6519172829982671,0,0,
12,1.1705639602685323,2.6121931063444053,1,1,
13,1.2289706867955794,-0.23224912955452195,1,0,
14,0.4685260470674023,1.8190778190772434,0,0,
15,-0.24599362070189723,-0.7166281003322514,0,0,
16,-0.5535343349888776,0.3437947834373812,0,0,
17,-0.5575547006211263,-0.5931706741769613,0,0,
18,-0.448677990242072,-0.9655207259340512,0,0,
19,-0.3369440611526025,-0.9170039259259889,0,0,
20,-0.0350451053626806,-0.5107006957579838,0,0,
21,0.16340108896653324,-0.9275145177517977,0,0,
22,-0.024727130045415997,-1.0816695444284719,0,0,
23,-0.12675930998618273,-0.4781067742678671,0,0,
24,-0.13449886089617064,0.11098014466759361,0,0,
25,-0.5458599516417085,1.3775528726598516,0,0,
26,-0.8408859072198623,-0.6604517447782602,0,0,
27,-0.4463641702812001,-0.3778327533667815,0,0,
28,0.44969947723547066,1.6258380949650968,0,0,
29,0.7932071804608967,-0.7343932067062519,1,0,
30,0.5436284459751427,-0.41197292649116285,0,0,
31,0.25242752911845945,-0.22653625712729927,0,0,
32,0.07698378610034981,-0.7353545766388654,0,0,
33,0.26319409495540824,1.1042940041491092,0,0,
34,0.2955150379287979,1.3536833479870904,0,0,
35,-0.3312497993374411,-0.6220314833232324,0,0,
36,-0.9475329223672344,-0.15726554709819315,0,0,
37,-1.2034556124341895,-0.40291874497499647,0,0,
38,-1.4419349943703486,0.18911420835347806,0,0,
39,-1.6113578474010475,0.7141545366539376,0,0,
