Time,Speed_z,BoundaryDensity_z,GradBoundary,EventBoundary,RollingCorr_60s
0,-0.7749154252460543,1.0991523727386838,0,0,
1,-0.7077520795771381,-0.43674396859227504,0,0,
2,-0.7961090779444595,-1.2939569445420982,0,0,
3,-0.8182671649326507,-1.2493577917575514,0,0,
4,-0.37267322953084847,-0.9448308048389698,0,0,
5,0.16723290722832604,-0.3229200357405461,0,0,
6,0.43719914760718703,-0.624783255401106,0,0,
7,0.584371187043058,-0.46113578275357897,0,0,
8,0.5054806548172832,-0.35763059859578544,0,0,
9,-0.03891413805593024,0.25044671995079504,0,0,
10,-0.6001880321330985,3.8116828844512702,0,1,
11,-0.7900678756935473,0.14173474797895066,0,0,
12,-0.9292969942405592,-1.1727725687211428,0,0,
13,-0.9931118582505762,-0.36414988295266904,0,0,
14,-0.8376799282266703,0.44007038475310134,0,0,
15,-0.641864624394483,0.2885431518573336,0,0,
16,-0.32871619642133726,-0.6683064206956046,0,0,
17,0.0510259435705519,-1.2042859400185701,0,0,
18,-0.012136007752340527,1.3883229242497723,0,0,
19,0.015416058663517704,0.8468678178360701,0,0,
20,0.18618153053227163,-0.45047383751223036,0,0,
21,-0.1574906605655455,0.223404262900807,0,0,
22,-0.6940900318026837,-0.3016493742589619,0,0,
23,-0.5142822721544883,0.8789301388917427,0,0,
24,0.3961407427132263,0.39380528096530004,0,0,
25,1.4392759817071545,0.13092048482861768,1,0,
26,1.66692764154626,-0.3504795562556378,1,0,
27,0.8528516048337542,-0.5753863533490448,0,0,
28,0.034161384970851055,-0.9250762935025878,0,0,
29,-0.15090759884924201,-0.13262285587011863,0,0,
30,-0.1471431757839575,-1.2926452549287701,0,0,
31,-0.30862778234729876,-0.22455264861772062,0,0,
32,-0.10971928016162998,-0.6853413890199404,0,0,
33,0.18800459293213287,1.6990101349463071,0,1,
34,0.30169061813583714,-0.5367131141244419,0,0,
35,0.7956564745319399,1.1125939734070516,0,0,
36,1.2080460801792925,0.15244907524071294,1,0,
37,1.0556614037297027,1.5594961597633379,1,0,
38,0.8386294793221849,0.15838415728951266,0,0,
