Time,Speed_z,BoundaryDensity_z,GradBoundary,EventBoundary,RollingCorr_60s
0,-0.9348394148350698,-0.48964078247599396,0,0,
1,-0.7933746543968685,-0.7417901877803208,0,0,
2,-0.28999323031703295,-0.23414552642366768,0,0,
3,0.043175885099078326,-0.12891028344730743,0,0,
4,0.13430971806893305,-0.3686295547409363,0,0,
5,0.11088347657551911,0.23902500236354662,0,0,
6,-0.187915379792865,0.008616742902065893,0,0,
7,-0.08741013666997949,2.0660173195655513,0,0,
8,0.18586428599411364,2.621059834750938,0,1,
9,0.4125954688344763,-0.5040434027765363,0,0,
10,0.4037560339760409,2.141325106952257,0,1,
11,0.26990328682792303,-0.8550008891039825,0,0,
12,0.5480235257896715,-0.2632269398286337,1,0,
13,0.60185768850147,-0.15662650545941634,1,0,
14,0.2384034886459182,-0.8832153810005325,0,0,
15,-0.10050810411008121,-0.3459615905101587,0,0,
16,0.24270125483631394,-1.070555814748602,0,0,
17,0.5658121757609226,-1.072276707325323,1,0,
18,0.14559462222612635,1.7050868009646691,0,0,
19,-0.3637731077502071,-0.8692428119667177,0,0,
20,-0.6179011402055519,0.6126466936943022,0,0,
21,-0.6399479547531682,-0.7318914973401751,0,0,
22,-0.4305471984375231,-0.07605717817996632,0,0,
23,-0.05423075878538991,0.0832797192672515,0,0,
24,0.38643430162569536,-0.7195235297700862,0,0,
25,0.2558886307269285,-0.6321460821308605,0,0,
26,-0.04476276343539579,0.6658274445486371,0,0,
