t,mean_r,null_lo,null_hi
-10,-0.2026177429027097,-0.7192066639976433,0.6484123046205665
-9,-0.20160515387527642,-0.6044450971834878,0.59401197195487
-8,-0.20330858855137227,-0.643717995241808,0.5810444743768163
-7,-0.10683279263875935,-0.5136344834247962,0.5454991034898582
-6,-0.12680400158451102,-0.53201743458955,0.6321901329550758
-5,-0.16663425290150138,-0.540637088295677,0.5047404849739852
-4,-0.1318195963799795,-0.625849225013023,0.587351106245846
-3,-0.1633531045912672,-0.6893556440410878,0.6035311968707258
-2,-0.09135753787901679,-0.6855172553852606,0.6317176462976769
-1,0.03204051923891174,-0.6878365015857251,0.6328927513575131
0,0.12233360615903384,-0.6792570156555335,0.6829701360349087
1,0.12734263223237693,-0.6327226496843025,0.6755331215417156
2,0.14417161533328304,-0.5142192036273089,0.6615268739823734
3,0.08755115304795251,-0.6657460078220598,0.6251891210539211
4,-0.02051905520173079,-0.6240501554494682,0.6179058003854797
5,0.026732444873406425,-0.6373970914006121,0.640540180334197
6,0.24908646187521202,-0.7502658842906436,0.6970988539789192
7,0.09358203962090093,-0.5863563074860795,0.6552734697884351
8,0.07840524219362409,-0.5743778269671636,0.6621923064769292
9,0.06356498060017834,-0.5565052110004443,0.6014622390875021
10,0.03525540170989231,-0.5883201818389499,0.6523604080787972
