Run_time,Mean_gradient_1,Mean_gradient_2,Mean_gradient_3,Mean_gradient_4,Mean_gradient_5
60,0.19000000000000003,0.32,-0.11,-0.04,-0.13
70,-0.12,-0.27,-0.02,0.0,-0.44
80,-0.02,-0.05000000000000001,-0.45,0.27,0.24
90,0.02,0.10000000000000002,0.12,-0.33,-0.01
100,0.02,-0.19000000000000003,0.13,-0.03,-0.06
110,-0.51,0.04,0.24,0.17,0.04
120,0.42,-0.01,-0.10000000000000002,-0.07,-0.09000000000000001
130,-0.22,-0.35,-0.26,-0.01,0.05
140,-0.34,0.09000000000000001,0.14,-0.13,-0.25
150,-0.13,0.04,0.04,-0.08,0.04
160,0.03,0.0,-0.20000000000000004,0.29,-0.09000000000000001
170,-0.06,-0.29,0.02,0.22,0.34
180,0.13,0.0,0.13,0.08,0.29
190,-0.04,-0.13,-0.08,-0.02,-0.18999999999999997
200,0.17,-0.08,-0.18000000000000002,-0.05000000000000001,-0.24
210,0.01,-0.06,0.36000000000000004,-0.3499999999999999,-0.02
220,0.18000000000000002,-0.06,-0.06,-0.02,0.01
230,-0.12,-0.09000000000000001,-0.51,0.18000000000000002,0.01
240,-0.21,0.02,-0.14,0.29,0.0
250,0.19000000000000003,-0.09000000000000001,-0.02,0.14,0.03
260,0.34,-0.08,0.36999999999999994,-0.06,0.25
270,-0.27,-0.24,-0.13,0.04,0.20000000000000004
280,-0.38000000000000006,0.02,-0.08,-0.23,-0.19000000000000003
290,0.42,0.03,0.03,-0.03,0.0
300,0.31,-0.14,0.28,0.0,0.17
310,-0.26,0.3,-0.13,0.16,-0.02
320,-0.36000000000000004,0.07,-0.02,0.13,-0.05000000000000001
