Run_time,Mean_gradient_1,Mean_gradient_2,Mean_gradient_3,Mean_gradient_4,Mean_gradient_5
75,0.453610335,0.173742148,0.164864343,-0.242142576,0.273508522
90,-0.144264152,-0.452384077,0.085742036,-0.164545966,0.210598504
105,-0.152853393,-0.051740948,0.233264395,-0.215585847,-0.060071625
120,-0.424195151,0.141315883,-0.188176739,0.105160032,-0.12446009
135,0.45046856500000004,0.125145595,-0.120247877,0.180049688,0.396789605
150,-0.142734142,-0.141580635,0.220635816,0.105566535,-0.040567004
165,0.051033881,0.051398384,0.240889318,-0.17412165099999996,-0.130047438
180,0.016597229,0.139622748,0.012992894,-0.214928468,-0.174280839
195,0.375361596,-0.157894924,0.070711004,-0.114199089,0.420203439
210,0.241842012,0.249717811,-0.088903493,0.11672323,0.233834586
225,-0.43756961,-0.089794499,-0.090263627,0.279467122,-0.089488497
240,0.312192639,0.113688898,-0.236528978,0.24280333,-0.171146945
255,0.287758236,0.086951981,-0.214483716,-0.075524722,0.085579097
270,-0.179951062,-0.263560647,0.424089588,-0.370125438,0.043019706
285,-0.039001181,-0.253483397,-0.064354715,0.19681173,0.361004819
300,-0.257339358,-0.291507884,-0.033784524,-0.007458047,-0.150886881
315,-0.19172613600000002,0.165438284,-0.037224045,0.137331296,-0.077320796
330,-0.014761967000000003,-0.06743629600000002,0.014285714,-0.133388896,0.120694504
345,-0.109417809,-0.114707967,-0.212525453,0.10759904699999999,0.04438584
360,0.143578835,0.00164551,0.032536141,-0.259300996,0.056076913
375,0.005688598,0.17955881,0.071288883,0.069906624,0.015518534
390,-0.325796786,-0.020302252,-0.219261245,0.31319127,-0.129499372
405,-0.278384115,-0.175487972,-0.018561679,-0.281207883,-0.15280407999999998
420,-0.231685261,-0.18442859,-0.017924175,0.196090788,0.014828905
435,0.033698461,-0.237955675,-0.240252002,0.148630491,0.218509366
450,0.320147001,0.199084807,0.106407103,0.02478428,-0.154699342
465,0.088745992,0.019651248000000003,0.045393659,0.21843192800000003,-0.125465284
480,-0.210133501,0.097848049,0.021487259,-0.079323496,-0.108199989
495,-0.148969306,0.209046182,-0.004541466,0.050452628,-0.286476103
510,0.219335683,-0.303874149,-0.231067632,0.076394915,0.275406971
525,-0.146228226,0.195526222,0.074757655,-0.045253595,-0.121809011
540,-0.213091144,-0.415422534,0.0659976,-0.192824518,-0.008605179
555,0.1039889,-0.056015975,-0.237528547,0.15880599300000003,0.140464253
570,-0.058617929,0.124536591,0.070962256,0.21197419999999997,0.074169839
585,-0.22523072000000002,0.057254983,0.063890087,-0.247166482,-0.263023081
600,-0.160936381,-0.595920537,-0.052739392,0.044630904,0.128695179
615,0.017095607,-0.157194982,-0.066004913,-0.025965725,0.03204845
630,0.171799074,-0.106701854,-0.062051638,0.155832786,-0.107423171
645,0.351813136,0.011040444,0.031887762,0.081844074,0.205618098
660,0.436228039,0.211505259,0.058638929,-0.019060432,0.169114244
675,-0.422548703,-0.546098476,-0.17764236,-0.129966437,-0.238678492
