Run_time,Mean_gradient_1,Mean_gradient_2,Mean_gradient_3,Mean_gradient_4,Mean_gradient_5
75,-0.074601654,0.551087319,0.181658073,-0.059504809,-0.148985431
90,0.015227345,0.065183095,0.25880243,0.018834493,0.06960156
105,0.091941012,-0.056514353,-0.175832974,0.434618529,0.144883843
120,-0.035908162,-0.352663642,-0.468989931,0.082086513,-0.043022706
135,0.051656948,-0.136867793,-0.199431871,0.00714342,0.035969287
150,-0.212100951,-0.143564585,0.292703579,-0.129870999,0.283323458
165,0.066185289,0.619885624,0.096993419,0.109785124,-0.05517147
180,0.060445315,-0.325706973,-0.021225883,-0.208531866,-0.254203589
195,-0.030882006,-0.045061032,-0.249961937,0.338062363,0.19826261400000003
210,0.024780342,0.301047757,-0.01912662,-0.136509103,-0.399160932
225,-0.258807868,0.024197776,-0.053067707,-0.210071813,0.052237639
240,-0.22017118899999996,-0.029575685,-0.190915381,0.113621023,-0.088869743
255,0.046357227,-0.42846174,0.15361071,0.111729886,0.140986631
270,-0.071045694,-0.148979431,0.198869368,0.134133651,-0.129161495
285,-0.135296533,-0.039441058999999994,0.191333508,-0.222125326,0.011167007
300,-0.071046069,0.207515797,-0.135431534,0.079194495,-0.135715598
315,0.002063263,-0.374314589,-0.049450809,0.289030056,0.150037875
330,-0.077481109,-0.590901131,-0.446817918,0.171809949,0.112748392
345,-0.08712392,0.360638441,0.125087844,-0.017527985,-0.323883524
360,-0.197148295,0.208814618,0.370487128,-0.164785967,0.012253389
375,0.239992312,-0.033959462,0.130214689,0.061416759,0.194777905
390,-0.387490109,-0.386140663,-0.299553935,-0.06519322,0.063376896
405,0.169717436,0.002820955,-0.165317908,0.232912643,0.138972119
420,0.149790186,-0.24556091,0.085406784,0.185090282,0.08765136
435,-0.050145313,0.0179478,0.155397409,0.04753436,-0.224325652
450,-0.273393209,-0.386158476,-0.466907918,0.248922243,-0.063517897
465,-0.120545066,0.442506328,0.33871017900000006,-0.438199989,-0.3440369
480,0.514153151,0.0259376,0.194396152,0.132348452,0.422544203
495,-0.00045881500000000006,-0.09930437099999999,0.045420846,-0.103712523,0.034389965
510,-0.347203983,-0.586558041,-0.008778805,0.17887124299999999,0.004290964
525,-0.160348565,0.024470215,-0.231853449,0.428305364,0.04719517
540,-0.088936493,0.332174639,0.32397165,-0.209304371,-0.194669904
555,-0.2419922,0.26898805600000003,0.51076688,-0.41556541,0.025433971
570,0.113528772,0.59836649,0.223781336,-0.064544278,-0.074020213
585,-0.218309864,-0.081302758,-0.379278683,0.468159301,-0.015117282
600,0.069803124,0.002159826,-0.594648154,0.157387921,-0.170684004
615,-0.373398271,-0.173708773,0.059185495,-0.430716442,-0.122177639
630,0.448440178,0.487667485,0.089518122,0.125244408,-0.120680817
645,-0.119409371,0.151904824,0.219129995,-0.446013163,-0.065113719
660,0.157475484,0.27756511,-0.24993475,0.448688617,0.327899612
675,-0.135585472,0.0031211450000000005,0.253448147,-0.093671273,-0.34718185700000004
