Run_time,Mean_gradient_1,Mean_gradient_2,Mean_gradient_3,Mean_gradient_4,Mean_gradient_5
60,-0.237146607,0.090574879,-0.05204395,-0.005894287000000001,0.099456434
70,0.063555022,-0.256335665,-0.058140738,-0.257909362,0.041675885
80,0.295818911,-0.146689854,0.136370352,-0.293645398,-0.052643767
90,-0.096282789,0.155016594,0.444089776,-0.096029663,0.012060074999999998
100,0.143955337,0.311631635,0.440126188,-0.404123526,0.062078825
110,0.01677873,0.13477753,-0.252691767,-0.047146045,-0.272431515
120,-0.301006506,-0.271401571,-0.305570285,0.43167776,0.112108263
130,-0.018038738,-0.24678435500000004,0.115907412,0.276798792,0.299147057
140,-0.136818105,-0.40357471,-0.19981456100000003,0.16801455,0.088478053
150,0.044513528,-0.200319314,-0.21174863599999996,-0.288074925,-0.044540528
160,-0.601725761,-0.303895149,-0.207877112,-0.024408715,-0.05292033100000001
170,0.307530985,0.34156207200000005,0.062254889,-0.04076013,-0.197122045
180,0.394429153,0.26238239,-0.12405115,0.009123995,-0.06206195
190,-0.092352577,0.244498903,0.489967375,-0.257723361,-0.089164682
200,-0.073504584,-0.055510284,-0.112090638,0.425233158,0.254110588
210,-0.010526878,-0.250639941,-0.281901637,0.262065888,0.21855230300000003
220,0.13843624,-0.488249864,-0.018606866,-0.098907056,0.011577072
230,-0.058519866,0.266400165,0.265420471,-0.054290964,-0.235832974
240,0.08852436599999998,0.071522697,-0.338029925,0.188805805,-0.087927362
250,0.096081038,0.083511522,-0.248779367,0.170490128,-0.033468959
260,0.261008381,0.190270189,0.34523147000000004,-0.016805918,0.258487428
270,-0.078610804,0.11002418799999998,0.138310052,-0.10548778399999999,0.079030056
280,-0.347316108,0.17922112,-0.31366246,0.316126413,-0.055630848
290,-0.095289221,-0.052722517,-0.295489659,0.360506816,-0.066614854
300,0.132181576,-0.192220764,0.04922487,-0.172083513,0.086640167
310,-0.390148688,-0.128414303,0.134336527,0.101482197,-0.286519228
320,0.144504528,-0.05179213600000001,0.313547147,-0.390177751,-0.008138488
