,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5
Focus_response,0.6540426525398141,0.0522043543231489,-0.13497052800521553,0.19341977708757424,0.14987292053436885
Self_response,0.5486708334601249,-0.08928697406947281,0.45747046797271357,0.08901772413345935,0.20457289796151631
Other_response,-0.025244127255530067,0.5203554845430445,0.3828605793339994,0.2100399508197729,-0.045169355518142155
Knowledge_response,0.11097762471769668,0.10002281358379045,0.8112202945621663,0.15443764474203128,0.060644818712261704
Absorption_response,0.43931555855102356,0.35665521757643265,0.23459048921441383,0.1612472497297129,-0.16944133917621823
Words_response,0.15946268850453987,0.5089764758748538,0.04420649883226205,0.12984555081969468,-0.2161472484707855
Past_response,0.07445962150646683,0.17033723643332221,0.783350188130753,0.11753699476403183,-0.0791308654213363
Deliberate_response,-0.19033768529559092,0.09987575397574874,0.027386557048798423,0.7050618425152005,0.014502617929444173
Sounds_response,0.07111983686739713,0.7450368957097812,-0.11773118949614199,0.059704086379720626,0.11510476104705997
Future_response,0.30454560576134204,0.09419387714590335,0.16756434186643998,0.5850060463078612,0.13661283423756299
Problem_response,0.2919729550526735,0.09301552801078453,0.1474198922057855,0.6193505244012605,-0.09656353138458265
Distracting_response,0.786748153568747,0.004267256981812335,0.11675349144915344,0.034279414854887495,-0.06629547831881707
Images_response,0.03128168026872041,0.7040622111893864,0.21853448216908472,0.02590444032328714,0.14633458756840872
Emotion_response,-0.022874750774774327,0.050147144173511175,0.02295136346374621,0.005941114662195124,0.9060376214437793
Intrusive_response,0.6037762046116497,0.2559151579082493,0.11447042159216236,-0.11471740474642847,-0.24311716083128376
Detailed_response,0.03179421684433268,0.4610566152642602,0.271934149747911,0.47368149130407433,-0.0874871116130085
