ProbeVersion,ProbeNumber,PCA_0,PCA_1,PCA_2,PCA_3,PCA_4
0,1,0.17510414910126218,0.670829187884336,-0.0966712485901151,-0.17673526579352758,0.120823040323965
0,2,0.18785502458937994,0.2671372076962163,0.8414417210556658,-0.5357876862182529,0.8499252359448528
0,3,0.31059725504651564,0.42063338320140525,0.7832292296656681,-0.5633189762397693,0.37345012410722633
1,1,-0.31631489792786754,0.033497935602517036,-0.1557191226323697,-0.1375541376800609,-0.022263175851431616
1,2,-0.06385632296150205,-0.30056384814714837,0.258619955339102,0.021879029865366967,0.13262114709989994
1,3,-0.22491585042531756,0.0054014051278386726,0.22949974807679796,0.16078790452030092,0.5213833754907832
2,1,-0.13953058773159896,0.8719769121178577,0.4037714891710924,0.39415084498904074,0.49825564358981794
2,2,0.06914828822517582,0.05136938689497476,0.13392440594537156,0.09342937520711031,0.1894243693015436
2,3,-0.03949390075961154,0.18744878699452264,0.7953685293289463,-0.36185417388266944,0.1819199983064809
3,1,-0.1257444614561817,0.6870436088640326,-0.15649405402853658,0.5323469277085424,-0.0750345511160152
3,2,0.23132339098892762,1.0347228967146174,0.10251987627852792,-0.2635658113091275,0.017374948540033002
3,3,0.33117721891746227,0.4961857591685626,0.37193357469267424,-0.1617971621784363,0.758671826884138
4,1,0.16301130146995724,0.2379340080367048,-0.17557698460498425,-0.20844712185460113,-0.10119151174411961
4,2,-0.02320257424697784,0.10356112573576849,-0.24237203492280998,-0.33218725246883785,-0.7143502324854057
4,3,-0.09272395782103655,-0.0742768450377757,-0.6173817745874027,0.22135611736678748,-0.3287509289059716
5,1,1.0463682698876495,0.3987779885058247,-0.15503628602346595,0.24023108307346772,0.4392629654551234
5,2,0.9887286894888146,-0.006107263217505452,0.22078251069587773,-0.13506539401137868,0.7102711912716816
5,3,0.4426572351354629,0.2792893981159798,0.05952573513149637,0.056120796223315145,0.0876765920110259
6,1,-0.2323227889123812,-0.9208630512649149,-0.8444703770057407,-0.08075739353289337,-0.4033056814061687
6,2,-0.389134033730248,-0.22390017754596736,0.0070979700348574775,-0.17247131714503694,0.42752487902084785
6,3,-0.7099853892548081,-0.5934659606696797,-0.6015493022251609,-0.11277798454814904,-0.11570426671711409
7,1,-0.6225968996857069,-0.2698741585424471,-0.5769206884761457,0.822088348654467,-0.4381100685892651
7,2,-0.3169732867194338,0.3576746522802596,-0.10077099509048375,0.004732535041092496,-0.3354910516834413
7,3,-0.3580581845849757,0.11708748287604336,0.2891778677873209,-0.07257021354683449,-0.5330192549263725
8,1,-0.2982584890845713,0.24310747856563772,-0.5831478355281258,0.19033047123126626,0.037124844223854335
8,2,-0.9635795834583533,0.2545503309207235,-0.13618670764953253,0.017533057012304776,-0.09931293866889845
8,3,-1.0534023069496676,0.35451913203819974,-0.08188354297115119,0.056079645938627076,-0.4316543647586513
