BoundaryIndex,BoundaryTime_s,IntervalToNext_s
1,42.96900000000001,9.000000000000007
2,51.969000000000015,14.999999999999993
3,66.96900000000001,13.0
4,79.96900000000001,25.000000000000014
5,104.96900000000002,51.0
6,155.96900000000002,13.0
7,168.96900000000002,11.0
8,179.96900000000002,16.00000000000003
9,195.96900000000005,15.0
10,210.96900000000005,63.0
11,273.96900000000005,54.0
12,327.96900000000005,-102.91900000000004
13,225.05,51.0
14,276.05,-252.89600000000002
15,23.154,16.000000000000004
16,39.154,21.0
17,60.154,27.999999999999993
18,88.154,29.0
19,117.154,61.0
20,178.154,76.0
21,254.154,12.0
22,266.154,16.0
23,282.154,22.0
24,304.154,26.0
25,330.154,-248.047
26,82.107,12.0
27,94.107,20.0
28,114.107,27.0
29,141.107,57.0
30,198.107,87.00000000000003
31,285.107,47.0
32,332.107,15.0
33,347.107,137.0
34,484.107,148.99999999999994
35,633.107,-623.106
36,10.000999999999998,154.99999999999997
37,165.00099999999998,53.00000000000003
38,218.001,35.0
39,253.001,113.99999999999991
40,367.0009999999999,-342.2819999999999
41,24.719000000000005,69.99999999999999
42,94.719,33.00000000000003
43,127.71900000000002,11.0
44,138.71900000000002,21.0
45,159.71900000000002,78.00000000000003
46,237.71900000000005,24.0
47,261.71900000000005,14.0
48,275.71900000000005,40.0
49,315.71900000000005,-276.48500000000007
50,39.234,48.99999999999999
51,88.234,14.0
52,102.234,17.0
53,119.234,69.00000000000001
54,188.234,63.0
55,251.234,47.99999999999997
56,299.234,52.0
57,351.234,-307.86199999999997
58,43.372,15.0
59,58.372,14.0
60,72.372,45.0
61,117.372,61.000000000000014
62,178.372,21.0
63,199.372,38.0
64,237.372,52.0
65,289.372,11.0
66,300.372,25.0
67,325.372,11.0
68,336.372,21.0
69,357.372,
