VideoName,ConsensusTime(s),PercentileCutoff
12 years_6m.mp4,42.969,90
12 years_6m.mp4,51.969,90
12 years_6m.mp4,79.969,90
12 years_6m.mp4,104.969,90
12 years_6m.mp4,179.969,90
12 years_6m.mp4,195.969,90
12 years_6m.mp4,210.969,90
12 years_6m.mp4,273.969,90
12 years_6m.mp4,327.969,90
Movie Task-summer,20.05,90
Movie Task-summer,36.05,90
Movie Task-summer,57.05,90
Movie Task-summer,158.05,90
Movie Task-summer,186.05,90
Movie Task-summer,225.05,90
Movie Task-summer,276.05,90
Movie Task-summer,340.05,90
Movie Task-summer,364.05,90
Movie Task-summer,423.05,90
Movie Task-summer,431.05,90
Movie Task-summer,603.05,90
Movie Task-summer,622.05,90
Movie Task-summer,638.05,90
back to the future_6m.mp4,23.154,90
back to the future_6m.mp4,39.154,90
back to the future_6m.mp4,60.154,90
back to the future_6m.mp4,117.154,90
back to the future_6m.mp4,178.154,90
back to the future_6m.mp4,254.154,90
back to the future_6m.mp4,266.154,90
back to the future_6m.mp4,282.154,90
back to the future_6m.mp4,304.154,90
back to the future_6m.mp4,330.154,90
Movie Task-c4,82.107,90
Movie Task-c4,94.107,90
Movie Task-c4,114.107,90
Movie Task-c4,141.107,90
Movie Task-c4,198.107,90
Movie Task-c4,285.107,90
Movie Task-c4,332.107,90
Movie Task-c4,347.107,90
Movie Task-c4,484.107,90
Movie Task-c4,633.107,90
Movie Task-lms,10.001,90
Movie Task-lms,77.001,90
Movie Task-lms,165.001,90
Movie Task-lms,218.001,90
Movie Task-lms,253.001,90
Movie Task-lms,283.001,90
Movie Task-lms,307.001,90
Movie Task-lms,367.001,90
Movie Task-lms,427.001,90
Movie Task-lms,448.001,90
Movie Task-lms,494.001,90
Movie Task-lms,584.001,90
Movie Task-lms,621.001,90
the_prestige_6m.mp4,24.719,90
the_prestige_6m.mp4,94.719,90
the_prestige_6m.mp4,127.719,90
the_prestige_6m.mp4,138.719,90
the_prestige_6m.mp4,159.719,90
the_prestige_6m.mp4,237.719,90
the_prestige_6m.mp4,315.719,90
pulp_fiction_6m.mp4,39.234,90
pulp_fiction_6m.mp4,88.234,90
pulp_fiction_6m.mp4,119.234,90
pulp_fiction_6m.mp4,188.234,90
pulp_fiction_6m.mp4,251.234,90
pulp_fiction_6m.mp4,299.234,90
pulp_fiction_6m.mp4,351.234,90
shawshank clip_6m.mp4,43.372,90
shawshank clip_6m.mp4,58.372,90
shawshank clip_6m.mp4,72.372,90
shawshank clip_6m.mp4,117.372,90
shawshank clip_6m.mp4,178.372,90
shawshank clip_6m.mp4,199.372,90
shawshank clip_6m.mp4,237.372,90
shawshank clip_6m.mp4,289.372,90
shawshank clip_6m.mp4,300.372,90
shawshank clip_6m.mp4,325.372,90
