start,end,text
0.369,3.591, Mm-hmm.
3.611,7.393,Mm-hmm.
7.453,9.854,Mm-hmm.
29.4,30.921, Mm hmm.
30.981,38.603,Mm hmm.
40.244,42.945,Mm hmm.
44.325,46.826,Mm hmm.
71.815,73.036," Plagg, get up!"
73.096,74.957,"Get your fiddle, Plagg, get up!"
74.977,75.397,Come on!
75.437,78.158,"Come on, Plagg, come on!"
78.198,78.659,Whoo!
78.759,81.08,"Come on, where's your merriment?"
81.1,81.82,Move your feet!
105.735,106.015, Sell her.
106.876,107.657,What's all this?
107.837,109.558,You will sell the niggers.
110.559,111.439,Sell little Pats?
112.36,114.722,She picked with more vigor than any other nigger.
115.402,116.143,Choose another to go.
116.183,116.683,No other.
118.064,118.564,Sell her.
118.584,120.085,I will not.
122.087,127.07,"You will remove that black bitch from this property, or I'll take myself back to Cheneyville."
131.614,133.515,Back to that hog's trough where I found you.
136.621,139.422," Do not set yourself up against Patsy, my dear."
143.963,146.863,Because I will rid myself of you well before I do away with her.
155.845,156.425,What you looking at?
158.026,158.546,Damn woman.
160.386,161.687,I won't have my moon spoiled.
162.867,163.427,I will not.
165.984,166.324, Dance.
167.586,168.186,"Dance, you said."
168.206,168.947,Come on.
168.967,170.249,"Pick it up, Black."
170.269,171.931,"Play that fiddle, boy."
172.031,172.371,Whoo!
212.742,213.142, Platt.
215.603,216.224,"Yes, Mistress?"
218.965,220.606,Can you find your way to Bartholomew's?
220.626,222.546,"I can, ma'am."
223.647,225.428,This is a list of goods and sundries.
225.448,227.429,You will take it to be filled and return immediately.
228.849,229.49,Take your tag.
230.59,232.431,Tell Bartholomew to add it to our debt.
232.611,233.091,"Yes, Mistress."
235.592,236.753,"Where you from, Platt?"
239.694,240.114,I told him.
241.015,241.595,Tell me again.
243.257,243.778, Washington.
244.238,245.079,"Who were you, Master?"
245.239,246.2,Master Namor Freeman.
246.32,247.321,Was he a learned man?
249.043,249.543,I suppose so.
250.724,251.605,He learned you to read?
251.625,255.089,"A word, here or there."
256.49,257.991,But I've no understanding of the written text.
258.031,259.113,Don't trouble yourself with it.
260.574,261.435,Same as the rest.
261.495,263.036,"Master bought you here to work, that's all."
265.118,266.7,"Any more, I'll earn you a hundred lashes."
324.643,331.466," Come here, boy."
334.688,335.128,Come on.
351.455,352.115,"Where you going, boy?"
353.22,355.109, On my way to Bartholomew's.
355.893,356.616,Sent by Mrs. Epps.
