start,end,text
3.046,6.347," If you believe in progress, re-elect Mayor Red Thomas."
6.887,8.288,Progress is his middle name.
8.888,15.57,"Mayor Red Thomas' progress platform means more jobs, better education, bigger civic improvements in Lower Texas."
15.65,17.811,"On election day, ask your vote for a proven leader."
18.091,19.591,Re-elect Mayor Red Thomas.
19.631,25.813,Progress is his middle name.
25.893,27.034,This has got to be a dream.
42.004,46.109," Hey, kid, what'd you do, jump ship?"
46.129,46.51,What?
46.55,49.434,"Well, what's with the life preserver?"
50.415,52.258,I just want to use the phone.
52.338,53.66,"Yeah, it's in the back."
85.589,88.99," You know where 1640 Riverside... Are you gonna order something, kid?"
89.01,91.89,"Uh, yeah."
92.71,93.631,Give me a tab.
94.571,94.871,Tab?
94.931,96.471,I can't give you a tab unless you order something.
96.991,98.232,"Right, give me a Pepsi free."
98.992,100.852,"If you want a Pepsi, pal, you're gonna pay for it."
101.632,104.073,"Look, just give me something without any sugar in it, okay?"
104.093,105.773,Something without sugar.
113.935,114.575,"Hey, McFly!"
120.145,120.345, Biff.
121.485,123.786,"Hey, I'm talking to you, McFly, you Irish bug."
124.026,124.706,"Oh, hey, Biff."
124.726,125.266,"Hey, guys."
125.286,126.086,How are you doing?
126.106,127.426,"You got my homework finished, McFly?"
127.847,131.367,"Uh, well, actually, I figured since it wasn't due till Monday... Hello?"
131.387,132.507,Hello?
132.748,133.468,Anybody home?
133.948,135.268,"Hey, think, McFly."
135.368,135.708,Think?
136.308,137.788,I gotta have time to recopy.
138.209,141.189,You realize what would happen if I hand in my homework and your handwriting?
141.689,142.729,I'd get kicked out of school.
143.59,145.13,"You wouldn't want that to happen, would you?"
148.106,148.566, Would you?
148.606,149.687,"Well, now, of course not, Biff."
149.727,150.908,I wouldn't want that to happen.
150.928,152.81,"What are you looking at, butthead?"
152.83,154.791,"Hey, Biff, get a hold of this guy's life preserver."
155.572,156.713,The door thinks he's gonna drown.
156.793,156.993,Yeah.
157.013,158.534,"So, uh, how about my homework, McFly?"
159.335,160.836,"Uh, okay, Biff."
160.896,165.94,"Well, I'll, uh, I'll finish that on up tonight, and then I'll, uh, bring it over first thing tomorrow morning."
165.96,167.281,"Okay, not too early."
167.301,168.142,I sleep in Sundays.
168.202,169.423,"Oh, McFly, your shoe's untied."
170.644,172.325,"Don't be so gullible, McFly."
172.385,173.526,I don't want to see you in here again.
173.546,173.626,Okay.
173.646,174.747,"All right, bye-bye."
197.346,197.546, What?
198.286,199.387,You're George McFly.
200.107,200.967,"Yeah, who are you?"
201.487,204.388,"Say, what do you let those boys push you around like that for?"
204.448,205.549,"Well, they're bigger than me."
205.809,206.849,"Stand tall, boy."
206.909,208.29,Have some respect for yourself.
208.57,212.511,"Don't you know if you let people walk over you now, they'll be walking over you for the rest of your life."
212.851,213.291,Look at me.
213.651,215.812,You think I'm gonna spend the rest of my life in this slop house?
215.872,216.652,"Watch it, Goldie."
216.772,217.433,"No, sir."
217.693,218.953,I'm gonna make something of myself.
219.013,222.134,"I'm going to night school, and one day I'm gonna be somebody."
222.314,222.794,That's right.
222.834,223.635,He's gonna be mayor.
224.375,224.695,"Yeah, I'm gonna..."
228.315,230.097, Now that's a good idea.
230.117,231.798,I could run for mayor.
231.979,232.759,A colored mayor.
232.779,233.56,That'll be the day.
233.62,234.962,"You wait and see, Mr. Carruthers."
235.022,235.823,I will be mayor.
236.103,239.947,"I'll be the most powerful man in Hill Valley, and I'm gonna clean up this town."
240.067,240.608,Good.
240.628,241.989,You can start by sweeping the floor.
245.393,246.734,Mayor Goldie Wilson.
263.165,264.197," Hey, you and the bike!"
294.636,295.957, He's a peeping Tom.
301.98,302.34,Dad!
303.061,307.103,"Hey, wait."
307.283,314.767,Wait a minute.
315.207,316.668,Who are you?
319.07,319.69,Stella!
320.59,322.972,Another one of these damn kids jumped in front of my car!
324.264,324.944, Come on out here!
324.964,326.045,Help me take him in the house!
326.165,328.307,Mom?
332.209,334.13,Is that you?
335.451,336.212,You're there now.
337.112,337.493,Just relax.
337.673,343.036,You've been asleep for almost nine hours now.
343.056,347.719,I had a horrible nightmare.
347.739,351.562,Dreamed I went back in time.
352.122,353.043,It was terrible.
354.434,358.029," Well, you're safe and sound now, back in good old Miami."
