start,end,text
1.058,1.899, You heard what I said?
1.919,4.08,Did it go in anywhere?
4.1,5.902,"Yeah, I think we get the point, Dad."
6.142,7.103,Don't show me the pad.
7.123,8.524,I don't want to see the fucking pad.
8.884,11.266,"Mom, how much can we spend?"
11.486,13.347,I would say $4.
13.387,14.088,Anything under $4.
18.578,18.858, Hi.
19.479,19.819,You ready?
20.159,23.721,"Yeah, I'm gonna have the, uh, number five with coffee, please."
24.342,24.682,All right.
25.102,28.124,"And, uh, number seven, over easy, and, uh, grapefruit juice."
28.364,28.865,Grapefruit?
29.365,33.447,"Um, I would like a fruit plate, and, uh, do you have chamomile?"
33.567,33.708,Yes.
34.168,34.848,"With honey, please."
35.289,38.751,I would like the lumberjack and coffee and extra bacon.
39.371,39.691,Extra?
40.452,42.073,"No, Dad, you should probably... Richard, don't start."
42.093,43.674,He's gonna kill himself.
43.694,44.474,"Well, it's his life."
44.875,45.615,"Thank you, Cheryl."
46.135,46.896,"Uh, garden salad?"
48.263,48.583, And you.
49.403,50.204,I'm sorry.
50.324,51.404,I'm sorry.
51.484,51.964,Take your time.
52.344,52.984,Don't apologize.
53.064,54.145,It's a sign of weakness.
55.345,57.266,"Um, well, I want... Okay, okay."
57.326,58.106,I know what I want.
58.166,58.386,I know.
58.606,58.866,Okay.
59.306,65.008,"Can I get the waffles and, um... What does alamode mean?"
65.208,66.468,"Oh, that means it comes with ice cream."
66.748,66.988,Okay.
67.249,67.629,Alamode.
68.389,69.309,Olive for breakfast.
70.67,71.87,Set for dollars.
72.49,72.93,Okay.
72.99,73.45,You're right.
73.47,73.89,Okay.
73.93,74.951,Be right back.
76.573,82.876," Actually, Olive, a la mode in French translates literally as in the fashion."
83.777,84.838,A la mode.
85.598,89.46,"Mode is derived from the Latin modus, meaning do our proper measure."
89.48,89.96,"Frank, shut up."
89.98,90.22,Richard.
90.26,93.082,"Olive, can I tell you a little something about ice cream?"
94.083,101.246,"Well, ice cream is made from cream, which comes from cow's milk, and cream has a lot of fat in it."
101.567,101.887,Richard.
103.038,103.198, What?
103.218,105.058,"She's going to find out anyway, remember?"
105.438,105.659,What?
106.159,106.839,Find out what?
107.119,111.72,"Well, when you eat ice cream, the fat in the ice cream becomes fat in your body."
111.76,112.8,"Richard, I swear to God."
112.88,113.38,It's true.
113.72,113.98,What?
114.02,114.68,What's wrong?
115.16,115.74,Nothing's wrong.
116.121,123.662,"So, if you eat a lot of ice cream, you might become fat, and if you don't, you're going to stay nice and skinny, sweetie."
125.202,126.403,"Olive, Richard is an idiot."
126.683,128.343,I like a woman with meat on her bones.
130.007,131.208, Why is everyone so upset?
131.248,132.408,"No, no one's upset, honey."
132.508,135.709,I just want you to understand.
135.909,139.05,"It's okay to be skinny, and it's okay to be fat if that's what you want to be."
139.35,141.13,"Whatever you want, it's okay."
142.39,144.211,"Okay, but let me ask you this."
145.391,151.933,"Those women in Miss America, are they skinny or are they fat?"
153.893,154.173,Honey?
155.274,155.354,No.
158.413,159.413," They're skinny, I guess."
159.653,159.954,Yeah.
160.534,162.014,I guess they don't eat a lot of ice cream.
162.214,162.795,Okay.
163.175,163.555,Coffee?
164.495,166.176,Coffee?
167.836,168.377,Grapefruit?
168.817,169.397,Thank you.
170.017,170.617,Chamomile?
172.258,173.639,And here's your ice cream.
173.859,174.579,"A la Modi, right?"
175.379,176.66,I'll be back with your waffles in a sec.
180.741,182.242,Does anyone want my ice cream?
183.598,184.799," Yeah, I'd like a little."
185.219,187.92,"Dwayne, Frank, Olive's not going to have her ice cream."
187.94,189.401,"Yeah, do you mind if I have a little bit?"
189.421,190.161,"Yeah, let's dig in."
190.201,191.462,That looks really good.
