start,end,text
5.011,5.431, In the bag.
21.157,21.757,What's in the case?
22.097,23.337,My boss's dirty laundry.
23.737,24.778,Your boss makes you do his laundry?
24.958,25.878,When he wants it clean.
25.998,26.879,Sounds like a shit job.
27.119,28.539,"Funny, I was thinking the same thing."
29.079,29.259,Open it.
29.339,31.18,I'm afraid I can't do that.
33.763,34.243, I didn't hear you.
34.583,35.224,I guess you did.
36.984,37.545,What's going on?
37.565,40.446,Looks like we got a vigilante in our midst.
41.246,42.047,Shoot him in the face.
42.687,45.828,"I hate to shatter your ego, but this ain't the first time I've had a gun pointed at me."
45.928,48.009,"You don't take your fucking hand off that case, it'll be your last."
48.029,49.59,Stop causing problems.
49.63,50.29,You'll get us all killed.
50.39,52.191,Give him what you got and get him out of here.
52.211,53.492,"Shut the fuck up, fat man."
53.512,54.912,This ain't none of your goddamn business.
56.613,57.473,"Be cool, honey bunny."
57.493,57.874,Be cool.
58.734,59.174,No problem.
59.214,60.055,I got it under control.
62.316,63.336,"Now, I'm gonna count to three."
65.694,68.716," If you don't open that case, I'm gonna unload in your fucking face."
73.76,74.121,We clear?
78.925,79.045,One.
83.048,83.248,Two.
85.45,85.67,Three.
85.69,86.21,"Okay, Ringo."
86.971,87.351,You win.
88.772,89.213,It's yours.
95.583,95.843, Open it.
100.967,101.548,"Hey, what is it?"
103.409,103.79,What is it?
103.81,107.432,Is that what I think it is?
108.013,108.353,Mm-hmm.
112.376,113.057,It's beautiful.
113.737,115.119,"God damn it, what is it?"
115.159,117.781,You let him go!
117.821,119.342,You let him go!
119.642,121.223,Let go of him!
121.343,122.544,Tell him just to be cool!
123.689,124.77," Say, bitch, be cool."
124.79,125.61,"Be cool, honey bunny."
125.63,126.511,"Say, bitch, be cool."
126.531,127.151,Be cool.
127.171,128.652,Tell that fucking bitch to chill.
128.672,129.252,"Be cool, honey bunny."
129.272,130.633,Chill that fucking bitch out.
130.673,132.254,"Just chill out, honey bunny."
132.274,132.614,Chill.
132.634,133.615,"Just chill out, honey bunny."
133.635,135.076,"All right, now tell her it's going to be all right."
135.096,135.816,It's going to be all right.
135.856,136.437,Promise her.
136.457,136.877,I promise.
136.997,137.798,Tell her to chill.
137.838,138.778,"Just chill out, honey bunny."
138.798,139.599,"All right, now tell me her name."
140.159,140.419,Yolanda.
140.479,141.46,"All right, now, Yolanda."
142.2,143.901,"We're not going to do anything stupid, are we?"
144.001,144.902,Don't you hurt him.
145.002,146.403,Nobody's going to hurt anybody.
146.843,148.804,We're all going to be like three little Fonzies here.
149.124,149.945,And what's Fonzie like?
151.63,153.211," Come on, Yolanda, what's Fonzie like?"
153.471,153.691,Cool.
154.232,154.472,What?
154.892,155.273,Cool.
155.293,156.533,Correctamundo.
157.274,158.355,And that's what we're gonna be.
159.095,159.916,We're gonna be cool.
