idno,VideoName,Focus_response,Self_response,Other_response,Knowledge_response,Absorption_response,Words_response,Past_response,Deliberate_response,Sounds_response,Future_response,Problem_response,Distracting_response,Images_response,Emotion_response,Intrusive_response,Detailed_response,ProbeVersion,ProbeNumber,Run_time,correct_per_run,correct_overall,watched_before
subject_201,pulp_fiction_6m.mp4,5,1,4.1,7.3,3,6.2,2.6,2,4.4,4,8.4,2.9,3.5,5.5,8.4,3.4,3,1,100,3,17,2
subject_201,pulp_fiction_6m.mp4,2.3,1.2,4.4,8.2,2,7.7,3.8,3.3,8.3,1.7,8.1,6.6,2.2,5.6,6.6,4,3,2,230,3,17,2
subject_201,pulp_fiction_6m.mp4,6.7,1.4,1.7,8.3,9,7.4,3,1.9,7.5,3,8,4.3,2.4,6.1,7,2,3,3,320,3,17,2
subject_201,the_prestige_6m.mp4,3,5.7,6.7,7,4.7,6.5,5.7,2.6,7,4.8,6.6,2.3,3.7,7,6.6,2.8,8,1,110,3,17,2
subject_201,the_prestige_6m.mp4,1,3.8,6.2,6.9,5.1,5.7,5.2,4.9,7,4,3,2,2,5.6,6.7,4.5,8,2,180,3,17,2
subject_201,the_prestige_6m.mp4,2.7,3.1,7,8.7,3,7.3,8.3,5,4,2.4,3.6,6.7,2.6,5.5,5,7,8,3,260,3,17,2
subject_201,shawshank clip_6m.mp4,2.1,2.9,6.6,6.8,4.9,8,6.8,3.3,5,7.9,7.7,3.2,6.9,5.4,6.9,2.4,1,1,60,4,17,2
subject_201,shawshank clip_6m.mp4,3,2.1,4,8,5,3,2.8,3.6,3.5,8,8,2.8,7.3,7.2,7,3,1,2,200,4,17,2
subject_201,shawshank clip_6m.mp4,2.4,2.7,7.4,7.5,7,7.8,3.5,3.9,3.3,6.8,7.7,2.3,6.9,5.9,7.4,4.1,1,3,290,4,17,2
subject_201,12 years_6m.mp4,2.6,2,6,7.9,6.5,3,6.9,3.7,7.4,7.4,6,2,2.5,6,5.3,1.4,0,1,80,3,17,2
subject_201,12 years_6m.mp4,2,1,7.1,8.5,7.4,6,8,4,7.2,3.4,6.2,3,7,3.1,8.2,3,0,2,150,3,17,2
subject_201,12 years_6m.mp4,1.8,1,7.7,8,6.9,5,4.8,5.9,6.5,1,6.6,2.9,6,4.4,5.7,3,0,3,270,3,17,2
subject_201,back to the future_6m.mp4,2.1,1,8.1,8.4,4.1,5.6,6.6,5.5,5.9,2.7,4.6,2.6,7.5,6.1,6.1,2.7,7,1,120,4,17,2
subject_201,back to the future_6m.mp4,2.4,1,8.6,7.8,6.5,7.8,2.7,3,4,3.7,6.8,3.4,7.6,5.1,6.7,6,7,2,210,4,17,2
subject_201,back to the future_6m.mp4,2.3,1,6.4,5.9,4.6,6.4,5.9,5.8,6,3,6.8,2.1,8,5.5,8,3,7,3,280,4,17,2
subject_202,12 years_6m.mp4,1,1.9,9,9.3,6.9,6.6,2,4.4,5.3,3.2,4,1,9.1,4.4,2.3,1.6,7,1,120,3,14,2
subject_202,12 years_6m.mp4,1,2,9.3,7.8,7.6,9.4,9.2,9,9.7,8.7,9.4,1.4,9.6,1,5.9,9.2,7,2,210,3,14,2
subject_202,12 years_6m.mp4,1,2.5,9.2,8.9,8.6,9.2,9.6,9.2,9.8,6,9.2,1.3,9.5,1,5.9,8.8,7,3,280,3,14,2
subject_202,pulp_fiction_6m.mp4,1,2,10,3.2,7.1,7,8.2,2.9,7,3,8.1,2.5,9.8,3.9,7.5,2.1,8,1,110,3,14,1
subject_202,pulp_fiction_6m.mp4,1,1,10,8.6,7.5,8,7.9,3.9,8.7,9.2,6.2,1.6,7.7,5.6,7.6,8.4,8,2,180,3,14,1
subject_202,pulp_fiction_6m.mp4,1,1,10,7.8,8.9,5.2,8.4,2.4,9,10,5.5,7.6,10,2.1,5,8.5,8,3,260,3,14,1
subject_202,shawshank clip_6m.mp4,1,1,8.9,2.1,4.3,5.5,8.4,2,2.8,1.5,5.8,1,5.8,5.1,3,4,4,1,140,2,14,1
subject_202,shawshank clip_6m.mp4,3,1.8,9.1,5.1,6.8,3.4,8.2,3.2,2.4,2.8,6,1,8,5.1,1.1,5.9,4,2,220,2,14,1
subject_202,shawshank clip_6m.mp4,2.4,1,9.4,3.1,7.7,1.4,8.6,7.8,1.1,9,1.1,1,6.2,5.8,3.1,8.5,4,3,310,2,14,1
subject_202,back to the future_6m.mp4,2.6,6.9,9.9,10,10,9,10,8.4,9.1,10,10,4,9.7,9.3,6.7,9.3,2,1,70,4,14,1
subject_202,back to the future_6m.mp4,2.2,4.6,10,8.9,9,9,10,8,8.2,10,3.8,3.2,9.8,10,6,8.2,2,2,170,4,14,1
subject_202,back to the future_6m.mp4,3,4.7,9.7,8,9.6,6,8.7,8,6,8,3.9,1.9,9,9.1,4,8.5,2,3,250,4,14,1
subject_202,the_prestige_6m.mp4,3,1.5,9.1,1.3,7,10,8.1,2.3,7.5,9.2,10,2.4,8.7,1.5,2.9,8.3,3,1,100,2,14,1
subject_202,the_prestige_6m.mp4,2.5,1,10,3.4,9,9,9,10,3.9,10,1.7,2,10,1.7,8.4,9,3,2,230,2,14,1
subject_202,the_prestige_6m.mp4,2.1,1,10,1.5,4.2,4,5.5,9,7,7.3,4.3,1,7.4,6.4,6,6.1,3,3,320,2,14,1
subject_203,12 years_6m.mp4,1.8,4.9,8.1,7,3.1,10,1,5,1.9,9,1.5,1,9,7,1.3,8,1,1,60,3,16,2
subject_203,12 years_6m.mp4,8.8,1,10,3,7.9,3.5,7,10,8.7,8.2,1,1,10,4,1,7,1,2,200,3,16,2
subject_203,12 years_6m.mp4,2,1,10,10,3,3.5,8.7,7.4,10,10,1,2,9,1,1,10,1,3,290,3,16,2
subject_203,shawshank clip_6m.mp4,3.2,1,10,5,7.6,10,8,8.4,5.5,10,3,1.6,9.5,2,8.4,10,2,1,70,3,16,2
subject_203,shawshank clip_6m.mp4,9,1,9.5,1.7,8.3,7,2.4,5.3,6.6,9,6,6,6.2,4.4,5.5,10,2,2,170,3,16,2
subject_203,shawshank clip_6m.mp4,3.9,1,7.9,1,4.4,3.8,8,2.6,9,10,5.3,1,8.8,5.2,4.6,9,2,3,250,3,16,2
subject_203,back to the future_6m.mp4,9,1,8.1,1.2,5.8,2.1,2.7,9.3,7,8.1,4.3,1.7,7,5.1,4.1,9.3,3,1,100,4,16,1
subject_203,back to the future_6m.mp4,8.3,3.6,9.5,8.8,8.7,5.4,9,10,5.9,7.7,1,3.4,6.7,9.7,2.6,9,3,2,230,4,16,1
subject_203,back to the future_6m.mp4,3.3,1.3,8.6,10,10,1.2,9.6,10,8,10,4.1,2,8.4,10,2,9.9,3,3,320,4,16,1
